route_operator,first,second
"ТОВ ""Автосвіт ЛТД"", адреса:вул.Жовтнева, 50, м.Коростень, Житомирська область, 11500, АД 062473",Київ,Коростень
"ТДВ ""Денисівка"", адреса: вул.М.Тореза, 64-Б, м.Чернівці, 58007, АГ 587966",Чернівці,Снятин
"ТОВ ""Бердичівське АТП 11837"", адреса: вул.Чапаєва, 4, м.Бердичів, Житомирська область, 13312, АГ 592009",Бердичів,Вишеньки
"ТДВ ""АТП 10911"" адреса: Антрацитівське шосе, 36, м.Красний Луч, Луганська область; АД 033931",Красний Луч,Сніжне
"ПрАТ ""Херсонське АТП 16527"", адреса: Новомиколаївське шосе, 9, м.Херсон, 73034, АГ 504980",Суми,Херсон
"ДП ""Техавтосервіс"" ВАТ ""Чернігівавтосервіс"", адреса: вул.Борисенка, 39, м.Чернігів, 14039, АД 075986",Чернігів,Київ
"ФОП Синьоок І.І., адреса: вул. 50-річчя Перемоги, с.Червона Слобода, Черкаський район, Черкаська область, 19604, АГ 503638",Черкаси,Комсомольськ
"ТДВ ""Денисівка"", адреса: вул.М.Тореза, 64-Б, м.Чернівці, 58007, АГ 587966",Чернівці,Снятин
"ФОП Яцишин М.М. адреса: пр-т Молоді, 8-А, кв.708, м.Луцьк, 43024, АД 062842",Луцьк,Тернопіль
"ФОП Карпенко П.М., адреса: провулок Тютюновий, буд. 1, кв. 4, м.Житомир, 10014, АЕ 187044",Баранівка,Київ
"ТОВ ""Бердичівське АТП 11837"", адреса: вул.Чапаєва, 4, м.Бердичів, Житомирська область, 13312, АГ 592009",Бердичів,Вишеньки
"ТОВ ""Авто-Експрес"", адреса: вул. Шевцової, 26, м.Волноваха, Донецька область, 85700, АЕ 572534",Донецьк,Луганськ 
"ТОВ ""Каховське АТП 16506"", адреса: вул.Мелітопольська, 72, м.Каховка, Херсонська область, 74800, АЕ 420304",Харків,Каховка
"ТОВ ""АТП 11231"", адреса: вул. Винокурова, буд.11, м.Дніпропетровськ, 49051, АЕ 421996",Дніпропетровськ,Харків
"ТОВ  ""Іксора"" адреса: Бериславське шосе, 11, м.Херсон, 73008, АВ 550452",Херсон,Миколаїв
"ФОП Яцишин М.М. адреса: пр-т Молоді, 8-А, кв.708, м.Луцьк, 43024, АД 062842",Дубно,Луцьк
"ТОВ ""Автосвіт ЛТД"", адреса:вул.Жовтнева, 50, м.Коростень, Житомирська область, 11500, АД 062473",Київ,Коростень
"ПП ""Авто-Експрес"", адреса: вул.Дзержинського, 44, м.Сніжне, Донецька область, 86500, АВ 523124",Сніжне,Дніпропретровськ
"ТДВ ""Чемеровецьке АТП 16847"", адреса: Гусятинське шосе, 4, смт.Чемерівці, Чемеровецький район, Хмельницька область, 31600, АГ 592524",Хмельницький,Луцьк
"ТДВ ""Денисівка"", адреса: вул.М.Тореза, 64-Б, м.Чернівці, 58007, АГ 587966",Чернівці,Снятин
"ТОВ ""ЛАТК-0777"", адреса: просп. Повітрофлотський, буд. 72, м.Київ, АЕ 573027",Київ,Козацьке
"ФОП Курило М.Л., адреса: з-й пров. Житомирський, 4, м.Баранівка, Житомирська область, 12700",Баранівка,Полонее
"ПрАТ ""Рогатинавто"", адреса: вул.Галицька, буд.108, м.Рогатин, Івано-Франківська область, 77000",Чернівці,Рогатин
"ТОВ ""Аудит-Авто"", адреса: вул.Павлова, 21, м.Дніпропетровськ, АЕ 422908",Кривий Ріг,Бобринець
"ФОП Мамедов Д.Г. , адреса: вул. Чайковського, буд. 10 В, м.Селидове, Донецька область, 58400, АЕ 572212",Запоріжжя,Донецьк
"ТОВ ""Круїз-авто"", адреса: вул.Вокзальна,1 Б, м.Умань, Черкаська область, 20300, АГ 593931",Христинівка , Київ
"ФОП Зорін Ю.Є., адреса: вул. Бахчіванджи, буд. 21, кв. 15, м.Маріуполь, Донецька область, 87548, АВ 610976",Маріуполь,Миколаїв
"ТОВ ""Мазар"", адреса: вул. Східна, 88/2, м.Житомир, 10029, АВ 524068",Житомир,Київ
"ТДВ ""Дніпропетровське АТП-11228"", адреса: вул. Берегова, 210, м.Дніпропетровськ, 49021",Зачепилівка,Дніпропетровськ
"ФОП Яцишин М.М. адреса: пр-т Молоді, 8-А, кв.708, м.Луцьк, 43024, АД 062842",Луцьк,Тернопіль
"ФОП Курило М.Л., адреса: з-й пров. Житомирський, 4, м.Баранівка, Житомирська область, 12700",Баранівка,Полонее
"ТОВ ""Автолюкс-Черкаси-Плюс"", адреса: вул.Хоменка, кв. 9, м.Черкаси, 18036, АЕ 266758",Черкаси,Київ
"ТОВ ""Турист"", адреса: Гагарінське плато, буд.5, м.Одеса, AД 75984",Запоріжжя,Одеса
"ПрАТ ""Монастирищенське АТП 17140"", адреса: вул.Леніна, 173, м.Монастирище, Черкаська область, 19100, АГ 587259",Монастирище,Київ
"ФОП Котельчук С.М., адреса: вул.Васильєва, 9, м.Ківерці, Волинська область, АГ 591929",Луцьк,Почаїв
"ФОП Лещенко Ю.В., адреса: вул. Папаніна, буд.1, кв. 6, м.Вінниця, 21000, АВ 510237",Вінниця,Київ
"ТДВ ""Дніпропетровське АТП-11228"", адреса: вул. Берегова, 210, м.Дніпропетровськ, 49021",Зачепилівка,Дніпропетровськ
"ТДВ ""Денисівка"", адреса: вул.М.Тореза, 64-Б, м.Чернівці, 58007, АГ 587966",Чернівці,Снятин
"ФОП Курило М.Л., адреса: з-й пров. Житомирський, 4, м.Баранівка, Житомирська область, 12700",Баранівка,Полонее
"ПрАТ ""Монастирищенське АТП 17140"", адреса: вул.Леніна, 173, м.Монастирище, Черкаська область, 19100, АГ 587259",Київ,Монастирище
"ТОВ ""Автотранссервіс"", адреса: Лоцманський узвіз, 8, м.Дніпропетровськ, 49005, АГ 588977",Дніпропетровськ,Вінниця
"ПП ""Автоекспрес-Дніпро"", адреса: площа Металургів, 6, м.Дніпропетровськ, 49009, АГ 587916",Дніпропетровськ,Красний Луч
"ПКП ""Денисівка - плюс"", адреса: вул. Рівненська, 5а, оф.202, м.Чернівці, 58013, АВ 532614",Чернівці,Чернігів
"ТОВ ""Автосвіт ЛТД"", адреса:вул.Жовтнева, 50, м.Коростень, Житомирська область, 11500, АД 062473",Лугини,Київ
"Косівське акціонерне товариство ""Скіф-Авто"", адреса: вул.Грушевського, 5, м.Косів, Івано-Франківська область, 78600, АГ 587957",Косів,Вижниця
"ТОВ ""ТСК-Авто"", адреса: вул. Урицького, буд. 4, м.Кривий Ріг, Дніпропетровська область, 50004, АВ 616229",Високопілля,Кривий Ріг
"ТОВ ""Автотранссервіс"", адреса: Лоцманський узвіз, 8, м.Дніпропетровськ, 49005, АГ 588977",Харків,Нікополь
"ТДВ ""Пасавтотранссервіс"", адреса: вул. 50-річчя Жовтня, 192, м.Котовськ, Одеська область, 66300, АЕ 268956",Вінниця,Котовськ
"ФОП Андрушків Т.І., адреса: вул. Лучаківського, буд.11,кв.113, м.Тернопіль, 46000, АЕ 269000",Тернопіль,Нетішин
"ПрАТ ""Краматорське АТП-11410"", адреса:вул.Орджонікідзе, 6, м.Краматорськ, Донецька область, АГ 590921",Краматорськ,Бердянськ
"ТДВ ""Чемеровецьке АТП 16847"", адреса: Гусятинське шосе, 4, смт.Чемерівці, Чемеровецький район, Хмельницька область, 31600, АГ 592524",Чемерівці,Вінниця
"ТОВ ""Автосвіт ЛТД"", адреса: вул.Жовтнева, 50, м.Коростень, Житомирська область, 11500, АД 062473",Лугини,Київ
"Косівське акціонерне товариство ""Скіф-Авто"", адреса: вул.Грушевського, 5, м.Косів, Івано-Франківська область, 78600, АГ 587957",Косів,Вижниця
"ТОВ ВКФ  ""Ігрек"", адреса: вул. Караваєва, 11, м.Дніпропетровськ, 49000, АВ 616034",Дніпропетровськ,Запоріжжя
"ВАТ ""Керченське АТП 14313"", адреса: вул. Вокзальне шосе, 44, м.Керч, АР Крим, 98302, АГ 593939",Керч,Херсон
"ФОП Мельник О.М., адреса: вул. Центральна, 4Б, с.Млинок, Зарічненський район, Рівненська область, AE 265825",Зарічне,Луцьк
"ТДВ ""Нововолинське АТП 10708"", адреса: вул.Шахтарська,  40, м.Нововолинськ, Волинська область, АГ 504913",Тернопіль,Нововолинськ
"ТОВ ""Стат-Пілігрім"", адреса: вул.Східна, буд. 9, м.Запоріжжя, 69083, АГ 587181",Запоріжжя,Харцизьк
"Косівське акціонерне товариство ""Скіф-Авто"", адреса: вул.Грушевського, 5, м.Косів, Івано-Франківська область, 78600, АГ 587957",Косів,Вижниця
"ПП ""ТВАД"", адреса: просп.Палладіна, буд.18/30, кв.52, м.Київ, 03142, АГ 590907",Київ,Ямпіль
