route_operator,first,second
"ТОВ ""ЕТАЛОН"", адреса:  вул. Східна, буд.12, м.Запоріжжя, АВ 532184",Запоріжжя,Маріуполь
"ПП ""АТП ""ЕТАЛОН"", адреса: вул.Бахмутського, 26-Б, м.Первомайськ, Луганська область, АД 062585",Попасна,Артемівськ
"ФОП Прохоренко Ю.В., адреса: вул.Леніна, 10, с.Пустельникове, Олександрійський район, Кіровоградська область, АД 062580",Кривий Ріг,Одександрія
"ВАТ ""Овруцьке АТП 11847"", адреса: вул. Б.Хмельницького,162, м.Овруч, Житомирська область, АЕ 189738",Словечне,Київ
"ТОВ ""Круїз-авто"", адреса: вул.Вокзальна,1 Б, м.Умань, Черкаська область, 20300, АГ 593931",Умань,Вінниця
"ТОВ ВКФ  ""Ігрек"", адреса: вул. Караваєва, 11, м.Дніпропетровськ, 49000, АВ 616034",Дніпропетровськ,Запоріжжя
"ФОП Степанишина І.А., адреса: вул.Миру,1/33, кв.3, м.Старокостянтинів, Старокостянтинівський район, Хмельницька область, АГ 587602",Старокостянтинів,Вінниця
"ПП ""АТП ""ЕТАЛОН"", адреса: вул.Бахмутського, 26-Б, м.Первомайськ, Луганська область, АД 062585",Попасна,Артеміськ
"ФОП Бойко А.Г., адреса: с.Сидорів, Гусятинський район, Тернопільська область, АГ 585923",Копичинці,Чернівці
"ПАТ ""Коломийське АТП"", адреса:пр-т М.Грушевського, 94, м.Коломия, Івано-Франківська область, 78200, АГ 593931",Тернопіль,Коломия
"ФОП Замана П.І., адреса: вул. Білопільське шосе, 23, кв.108, м.Суми, АВ 525739",Миргород,Суми
"ФОП Яцишин М.М. адреса: пр-т Молоді, 8-А, кв.708, м.Луцьк, 43024, АД 062842",Луцьк,Червоноград
"ПП ""Авто-Експрес"", адреса: вул.Дзержинського, 44, м.Сніжне, Донецька область, 86500, АВ 523124",Сніжне,Ялта
"ПП ""АТП ""ЕТАЛОН"", адреса: вул.Бахмутського, 26-Б, м.Первомайськ, Луганська область, АД 062585",Попасна,Артемівськ
"ТОВ ""Автолюкс-Черкаси-Плюс"", адреса: вул.Хоменка, кв. 9, м.Черкаси, 18036, АЕ 266758",Черкаси,Київ
"ТОВ ""Транспассервіс"", адреса: вул.Чапаєва, 4, м.Бердичів, Житомирська область, АВ 532491",Бердичів,Київ
"ТОВ ""Автомобільна  компанія ""Транспортні лінії України"", адреса: вул.Виставочна, 2-В, м.Кіровоград, 25014, АГ 586996",Кіровоград,Севастополь
"ФОП Капленко О.В., адреса: Лісова, буд. 35, м.Куп'янськ, Харківська область, АЕ 421241",Дніпропетровськ,Куп'янськ
"ФОП Когут В. В., адреса: пр-т Ватутіна, 30-А, кв.22, м.Ватутіне, Звенигородський район, Черкаська область, АВ 543549",Катеринопіль,Київ
"ТОВ ""Бердичівське АТП 11837"", адреса: вул.Чапаєва, 4, м.Бердичів, Житомирська область, 13312, АГ 592009",Київ,Бердичів
"ТОВ ""Авто-ОВІ"", адреса: проспект Московський, буд. 248, корп. Г, кв. 42, м.Харків, АЕ 421550",Ромни,Харків
"ФОП Михалюк Ю.П., адреса: вул. Молодіжна, 54, с.Маяки, Луцький район, Волинська область, АД 076930",Луцьк,Львів
"ТОВ ""Добропільське АТП"", адреса: вул. Артема, буд. 56, м.Димитров, Красноармійський район, Донецька область, АЕ 420043",Красноармійськ,Бердянськ
"ПрАТ ""Тульчинське АТП-10507"", адреса: вул.Польова,1, с.Нестерварка, Тульчинський район, Вінницька область, 23600, АГ 504834",Тульчин,Нетішин
"ПП ""Посполіта Сервіс"", адреса: вул. Колонтаївська, 67, м.Одеса, АЕ 593995",Одеса,Херсон
"ТДВ ""Дніпропетровське АТП-11228"", адреса: вул. Берегова, 210, м.Дніпропетровськ, 49021",Дніпропетровськ,Стрілкове
"ПрАТ ""Херсонське АТП 16527"", адреса: Новомиколаївське шосе, 9, м.Херсон, 73034, АГ 504980",Херсон,Кіровоград
"ТДВ ""Оріон-Авто"", адреса: вул. Казарського, 4, м.Миколаїв, 54007, АВ 562984",Балта,Миколаїв
"ПП ""Нов-Транс-Авто"", адреса: вул. Котовського, буд. 106-А, м.Новоселиця, Чернівецька область, АЕ 421060",Тернопіль,Городенка
"ТОВ ""АТП-15307"", адреса: вул. Київська, буд. 65/2, м.Кременчук, Полтавська область, АЕ 266557",Дніпропетровськ,Кременчук
"ПП Синявін О.С., адреса: вул.Черепіна, 84-А, кв.91, м.Суми, АВ 532044",Харків,Суми
"ФОП Савіцький Є.А., адреса: провулок Луговий, буд.2, с.Оліївка, Житомирський район, Житомирська область, АВ 610958",Черняхів,Київ
"ТОВ ""Миколаїв-Авто"", адреса:вул.Казарського, 4, м.Миколаїв, 54007, АВ 544368",Миколаїв,Херсон
"ПАТ ""Калуське АТП"", адреса: вул.Глібова, 52, м.Калуш, Івано-Франківська область, 77303, АГ 593999",Тернопіль,Калуш
"ТОВ ""Мазар"", адреса: вул. Східна, 88/2, м.Житомир, 10029, АВ 524068",Київ,Житомир
"ТОВ ""УШ АТП 10943"", адреса:вул.Михайла Донця, буд.17/46, м.Київ, 01326, АЕ 421372 ",Київ,Погребище
"ПрАТ ""Монастирищенське АТП 17140"", адреса: вул.Леніна, 173, м.Монастирище, Черкаська область, 19100, АГ 587259",Київ,Монастирище
"ТЗОВ ""Львівське АТП-14631"", адреса: вул.Пластова, 10, м.Львів, 79056, АВ550341",Львів,Луцьк
"ФОП Павликівський С.О., адреса: вул.Генерала Шухевича, буд.31-А, кв.6, м.Бучач, Тернопільська область, АВ 525683",Бучач,Львів
"ФОП Мошківський В.О., адреса: вул. Радянська, 84/2, кв.30, м.Овруч, Житомирська область, АГ 590925 ",Овруч,Київ
"ПАТ ""АТП-11210"", адреса: вул. Під'їздна,1, м.Жовті Води, Дніпропетровська область, АГ 593048",Жовті Води,Кіровоград
"ПП ""Первомайське АТП-СВ"", адреса: вул. Бахмутського, буд.26 Д, м.Первомайськ, Луганська область, АД 038891",Первомайськ,Артемівськ
"ФОП Баткалов С.П., адреса: вул.Київська, 279, кв.35, м.Прилуки, Чернігівська область, АД 065427",Прилуки,Київ
"ПрАТ ""Гайсинське АТП 10506"", адреса: вул.Плеханова,135, м.Гайсин, Вінницька область, АГ 503328",Гайсин,Хмельницький
"ПАТ ""Північтранс"", адреса: 21 км Старокиївської дороги, м.Одеса, АГ 587970",Київ,Радомишль
"ТОВ ""Магнум"", адреса: вул. Качалова, буд.5-Д, м.Київ, АЕ 265169",Ромни,Київ
"ФОП Грицай А.П., адреса: м-н Перемоги, 17, кв.71, м.Кузнецовськ, Рівненська область, АД 076843",Кузнецовськ,Тернопіль
"ФОП Баткалов С.П., адреса: вул.Київська, 279, кв.35, м.Прилуки, Чернігівська область, АД 065427",Прилуки,Київ
"ПАТ ""Калуське АТП"", адреса: вул.Глібова, 52, м.Калуш, Івано-Франківська область, 77303, АГ 593999",Чернівці,Калуш
"ПП ""Корсар"", адреса: вул. Гагаріна, 132, м.Скадовськ, Херсонська область, АЕ 572416",Лазурне,Київ
"ТОВ ""Бучацьке АТП 16139"", адреса: вул.C.Бандери,  10, м.Бучач, Тернопільська область, 48403, АВ 532596",Бучач,Львів
"ФОП Кисіль А.М., адреса: вул.Куйбишева, 17, м.Іллінці, Вінницька область, АЕ 573179",Кам'янець,Хмальницький
"ПрАТ ""Погребищенське АТП 10537"", адреса: вул. Б.Хмельницького,126, м.Погребище, Вінницька область, АГ 503329",Київ,Погребище
"ФОП Оржеховський В.Б., адреса: вул.Тельмана, буд.154, м.Городок, Хмельницька область, АГ 504910",Городок,Чернівці
"ДП ""Фаркоп"" ВАТ ""Карлівське АТП 15340"", адреса: вул.Свердлова,18, м.Карлівка, Полтавська область, АД 062991",Карлівка,Харків
"ФОП Яцишин М.М. адреса: пр-т Молоді, 8-А, кв.708, м.Луцьк, 43024, АД 062842",Луцьк,Львів
"ФОП Бакал С.В., адреса: вул. Остапа Вишні, буд.8, м.Жашків, Черкаська область, АГ 504740",Вишково,Київ
"ТОВ ""Миколаїв-Авто"", адреса:вул.Казарського, 4, м.Миколаїв, 54007, АВ 544368",Миколаїв,Скадовськ
"ТОВ ""СІС"", адреса: проспект Карла Маркса , буд.53, м.Дніпропетровськ, АГ 593941",Київ,Ромни
"ФОП Михалюк Ю.П., адреса: вул. Молодіжна, 54, с.Маяки, Луцький район, Волинська область, АД 076930",Луцьк,Львів
"ТОВ ""Миколаїв-Авто"", адреса:вул.Казарського, 4, м.Миколаїв, 54007, АВ 544368",Миколаїв,Скадовськ
"ФОП Усович В.Ф., адреса: м-н Будівельників, 16, корп.1, кв.13, м.Кузнецовськ, Рівненська область, АГ 585007 ",Кузнецовськ,Київ
"ФОП Будник І.М., адреса: вул. Каленіченків, 133, м.Лебедин, Сумська область, АЕ 572526",Лебедин,Харків
"ФОП Оржеховський В.Б., адреса: вул.Тельмана, буд.154, м.Городок, Хмельницька область, АГ 504910",Городок,Чернівці
"ПП ""Первомайське АТП-СВ"", адреса: вул. Бахмутського, буд.26 Д, м.Первомайськ, Луганська область, АД 038891",Первомайськ,Артемівськ
"ФОП Гаврилко І.В., адреса: вул. 8-го Березня,13-А, м.Лебедин, Сумська область, АГ 593913",Донецьк,Лебедин
"ТОВ ""Автотранссервіс"", адреса: Лоцманський узвіз, 8, м.Дніпропетровськ, 49005, АГ 588977",Дніпропетровськ,Бердянськ
"ПАТ ""Тернопільське АТП-16127"", адреса: вул.Галицька, 38, м.Тернопіль, АГ 587907",Тернопіль,Долина
"СПД-ФО Бутовченко В.А, адреса: вул.Рівненська, 83-А/14, м.Луцьк, АВ 523499",Луцьк,Кузнецовськ
"ФОП Марочко С.В., адреса: вул.Гончаренко, 38, кв.26, м.Охтирка, Сумська область, АГ 592023",Харків,Охтирка
"ФОП Замана П.І., адреса: вул. Білопільське шосе, 23, кв.108, м.Суми, АВ 525739",Суми,Миргород
"ТОВ ""М+М"", адреса:вул.Леніна, 188/2, м.Канів, Черкаська область, АЕ 421902",Канів,Київ
"ФОП Федоров Ю.В., адреса: вул. Комінтерна, 17, м.Звенигородка, Черкаська область, АЕ 572477",Київ,Ватутіне
"ПрАТ ""Володимир-Волинське АТП 10707"", адреса: вул.Ковельська, 181, м.Володимир-Волинський, Волинська область, АГ 588970",Лісова пісня,Львів
"ФОП Жарський А.Й., адреса: пров.Кірова, 18, смт.Довбиш, Баранівський район, Житомирська область, АГ 504802",Мар'янівка,Київ
"ФОП Коваль С.А., адреса: мкр.Сонячний, 53, кв.47, м.Кривий Ріг, Дніпропетровська область, АВ 562853",Миргород,Кривий Ріг
"ТОВ ""Автолюкс-Черкаси-Плюс"", адреса: вул.Хоменка, кв. 9, м.Черкаси, 18036, АЕ 266758",Черкаси,Київ
"ТОВ ""Круїз-авто"", адреса: вул.Вокзальна,1 Б, м.Умань, Черкаська область, 20300, АГ 593931",Монастирище,Київ
"ТОВ ""ЕЛІТ - АВТО ПЛЮС"", адреса: вул. Молодогвардійська, 11, м.Київ, АЕ 573261",Київ,Радомишль
"ПП ""Гусятин Автопасаж"", адреса: вул. Привокзальна, 3А, м.Гусятин, Тернопільська область, АЕ 420449",Грималів,Чернівці
"ТОВ ""Гюнсел"", адреса: вул. Федора Ернста, 3б, м.Київ, АГ 593998",Красноармійськ,Київ
"ПП ""Авто-Експрес"", адреса: вул.Дзержинського, 44, м.Сніжне, Донецька область, 86500, АВ 523124",Сніжне,Харків
"ФОП Голіней Д.В., адреса: вул.Шевченка,38,, смт.Делятин, Надвірнянський район, Івано-Франківська область, АВ 616259",Яремча,Львів
"ПрАТ ""Шепетівське АТП 16807"", адреса: вул.Лермонтова, 2, м.Шепетівка, Хмельницька область, АГ 591924",Тернопіль,Шепетівка
"ПАТ ""Північтранс"", адреса: 21 км Старокиївської дороги, м.Одеса, АГ 587970",Київ,Радомишль
"ПП ""ЛИС-АВТО-ТРАНС"", адреса: пр.Леніна, буд.115, кв.184, м.Лисичанськ, Луганська область, АД 076951",Сєвєродонецьк,Київ
"ТОВ ""Альянс-Сервіс"", адреса: вул. Айвазовського, буд. 18, корпус А, м.Миколаїв, АГ 584968",Очаків,Одеса
"ТДВ ""Автомобіліст"", адреса: вул. Сапроненка, 28, м.Нова Одеса, Миколаївська область, АГ 585489",Нова Одеса,Дніпропетровськ
"ФОП Мошківський В.О., адреса: вул. Радянська, 84/2, кв.30, м.Овруч, Житомирська область, АГ 590925 ",Овруч,Київ
"ФОП Позарук Т.Ф., адреса: вул.Гагаріна, 26, смт.Кути, Косівський район, Івано-Франківська об, АЕ 584522",Тюдів,Чернівці
"ФОП Кардаш О.Й., адреса: Інститутська, буд. 8/1, кв. 52, м.Хмельницький, АГ 588558",Ковель,Хмільницький
"ФОП Марочко С.В., адреса: вул.Гончаренко, 38, кв.26, м.Охтирка, Сумська область, АГ 592023",Харків,Охтирка
"ФОП Галайко І.В., адреса: с. Буцнів, Тернопільський р-н.,Тернопільська обл., AB 524825",Білогір'я,Тернопіль
"ПП ""Автолюкс"", адреса: вул.Бондарська, 12, м.Ніжин, Чернігівська область, АГ 589641",Ніжин,Київ
"ПрАТ ""Маріуполь-Авто"", адреса: вул.Макара Мазая, буд.6, м.Маріуполь, Донецька область, АГ 588928",Луганськ,Маріуполь
"ТОВ ""Вулкан"", адреса: вул. Локтюхова, 3, м.Дніпродзержинськ, Дніпропетровська область, АГ 584690  ",Дніпродзержинськ,Кирилівка
"ПП ""Автотранзит"", адреса: вул. Смолича Юрія, буд.6-В, кв.105, м.Київ, АЕ 422922",Київ,Тальне
"ФОП Миколюк М.Т., адреса: вул. Стефаника, буд.6, с.Біла, Тернопільський район, Тернопільська область, АЕ 189280",Тернопіль,Калуш
"ФОП Нагорний О.В., адреса: вул.Бондарська, 12, м.Ніжин, Чернігівська область, АВ 525487",Нетішин,Київ
"ПрАТ ""Гуляйпільське АТП 12338"", адреса: вул.Дачна, 2, м.Гуляйполе, Запорізька область, АД 065077",Гуляйполе,Дніпропетровськ
"ФОП Олійник М.А., адреса: вул.М.Конєва, 13, кор.2, кв.155, м.Кіровоград, АЕ 572405",Кривий Ріг,Кіровоград
"ТОВ ""ЛАТК-0777"", адреса: просп. Повітрофлотський, буд. 72, м.Київ, АЕ 573027",Сміла,Київ
"ПАТП ""Авто-Транс-Захід"", адреса: вул. Володимира Великого, буд.21, м.Городенка, Івано-Франківська область, АЕ 265258",Городенка,Чернівці
"ВАТ ""Бершадське АТП 10527"", адреса: вул.Тітова, буд.2, м.Бершадь, Вінницька область, АД 038320",Бершадь,Одеса
"ФОП  Савченко Г.І., адреса: вул. Ліскова, 2, м.Миколаїв, АГ 504682",Миколаїв,Ананьїв
"ПП ""Авто-Експерт"", адреса: вул. Калнишевського, буд. 34, м.Хмельницький, АЕ 268959",Хмельницький,Тернопіль
"ТОВ ""Горлівське АТП"", адреса вул.Пушкінська, 1, м.Горлівка, Донецька область, АД 076670",Донецьк,Попасна
"ТОВ ""Автотранссервіс"", адреса: Лоцманський узвіз, 8, м.Дніпропетровськ, 49005, АГ 588977",Орджонікідзе,Запоріжжя
"ТОВ ""АТП 11231"", адреса: вул. Винокурова, буд.11, м.Дніпропетровськ, 49051, АЕ 421996",Дніпропетровськ,Одеса
"ТОВ ""Талалаївське АТП 17450"", адреса: вул.Перемоги, 2, смт.Талалаївка, Талалаївський район, Чернігівська область, АЕ 572501",Талалаївка,Київ
"ПАТ ""АТП 15339"", адреса: вул.Котовського,11, м.Зіньків, Полтавська область, АВ 610990",Зіньків,Харків
"ТОВ АТП ""Авто-Імідж"", адреса: вул. Л.Терьошкіна, буд.6, м.Павлоград, Дніпропетровська область, АД 038340",Павлоград,Бердянськ
"ФОП Новак М.В., адреса: вул. Жовтнева, 114, смт.Петрове, Петрівський район, Кіровоградська область, АД 062362",Жовті Води,Кременчук
"ПАТ ""Черкаське АТП 17127"", адреса: вул.Луценка, 12, м.Черкаси, АД 033221",Черкаси,Київ
"ТОВ ""Автотранссервіс"", адреса: Лоцманський узвіз, 8, м.Дніпропетровськ, 49005, АГ 588977",Орджонікідзе,Запоріжжя
"ТОВ ""Миколаїв-Авто"", адреса:вул.Казарського, 4, м.Миколаїв, 54007, АВ 544368",Миколаїв,Херсон
"БПП ""Фаворит-Люкс"", адреса: вул.Гоголівська, буд.4, м.Житомир, АГ 584510",Житомир,Вінниця
"ФОП Стецик Т.В., адреса: вул.Київська, 14/155, м.Тернопіль, АД 038990",Тернопіль,Ялта
"ФОП Стамбульський О.Й., адреса: Рівненська, буд. 81, кв. 4, м.Луцьк, АВ 616385",Луцьк,Демидівка
"ПрАТ ""Гадяцьке АТП 15337"", адреса: вул.Кіндратенка, 25, м.Гадяч, Полтавська область, АГ 593152",Гадяч,Харків
"ТОВ ""Фрегат-К"", адреса: просп. М. Жукова, буд.18-А, кв.7, м.Харків, АГ 593914",Харків,Кіровоград
"ФОП Стамбульський О.Й., адреса: Рівненська, буд. 81, кв. 4, м.Луцьк, АВ 616385",Луцьк,Демидівка
"ПП ""АВТОЛАЙН КОМПАНІ"", адреса: пров. Лісний, буд. 4, м.Сєвєродонецьк, Луганська область, АЕ 266957",Лисичанськ,Донецьк
"ТЗОВ ""Львівське АТП-14631"", адреса: вул.Пластова, 10, м.Львів, 79056, АВ550341",Вижниця,Львів
"ТДВ ""Пасавтотранссервіс"", адреса: вул. 50-річчя Жовтня, 192, м.Котовськ, Одеська область, 66300, АЕ 268956",Київ,Котовськ
"ТОВ ""Турист"", адреса: Гагарінське плато, буд.5, м.Одеса, AД 75984",Одеса,Севастополь
"ПП ""АТП Ульяновське"", адреса: вул.Гагаріна, 49, м.Ульяновка, Кіровоградська область, АГ 590589",Кіровоград,Голованівськ
"ФОП Стамбульський О.Й., адреса: Рівненська, буд. 81, кв. 4, м.Луцьк, АВ 616385",Луцьк,Демидівка
"ТОВ ""Бучацьке АТП 16139"", адреса: вул.C.Бандери,  10, м.Бучач, Тернопільська область, 48403, АВ 532596",Бучач,Хмельницький
"ТЗОВ ""Львівське АТП-14631"", адреса: вул.Пластова, 10, м.Львів, 79056, АВ550341",Кути,Львів
"ПП ""Корунд-С"", адреса: вул.Успенсько-Троїцька, 96, м.Конотоп, Сумська область, АВ 550195",Конотоп,Полтава
"ТДВ ""Дніпропетровське АТП-11228"", адреса: вул. Берегова, 210, м.Дніпропетровськ, 49021",Дніпропетровськ,Радянське
"ФОП Мнека М.М., адреса: пр-т Перемоги, 2, кв.14, м.Кіровоград, АД 062363",Кіровоград,Кривий Ріг
"ПП ""Первомайське АТП-СВ"", адреса: вул. Бахмутського, буд.26 Д, м.Первомайськ, Луганська область, АД 038891",Попасна,Донецьк
"ТОВ ""Круїз-авто"", адреса: вул.Вокзальна,1 Б, м.Умань, Черкаська область, 20300, АГ 593931",Монастирище,Київ
"ФОП Колодницький Д.М., адреса: вул. Староміська, буд. 84, с.Старе Місто, Підгаєцький район, Тернопільська область, АВ 509390",Підгайці,Львів
"ПІК ""ААЗ Трейдінг Ко"", адреса: вул.Чистяківська, 30, м.Київ, АЕ 572514",Київ,Харків
"ТДВ ""Херсонське АТП 16563"", адреса: Бериславське шосе, 44-А, м.Херсон, АВ 610094",Херсон,Березнегувате
"ТОВ ""Сервіс-Авто-2005"", адреса: вул.Героїв Дніпра, 65, кв.61, м.Черкаси, АЕ 187027",Черкаси,Київ
"ТОВ ""Аудит-Авто"", адреса: вул.Павлова, 21, м.Дніпропетровськ, АЕ 422908",Кривий Ріг,Запоріжжя
"ВАТ ""Бершадське АТП 10527"", адреса: вул.Тітова, буд.2, м.Бершадь, Вінницька область, АД 038320",Берщадь,Київ
"ТДВ ""Дніпропетровське АТП-11228"", адреса: вул. Берегова, 210, м.Дніпропетровськ, 49021",Радянське,Дніпропетровськ
"ВАТ ""Долинське АТП 12627"", адреса: вул.Обліски, 70, м.Долина, Івано-Франківська область, АВ 510253",Долина,Тернопіль
"ФОП  Вовкодав П.Г., адреса: пров.Калиновий, 12, смт.Новоархангельськ, Новоархангельський район, Кіровоградська область, АВ 610852",Новоархангельськ,Черкаси
"ТОВ ""Бучацьке АТП 16139"", адреса: вул.C.Бандери,  10, м.Бучач, Тернопільська область, 48403, АВ 532596",Бучач,Чернівці
"ТДВ ""Херсонське АТП 16563"", адреса: Бериславське шосе, 44-А, м.Херсон, АВ 610094",Херсон,Березнегувате
"ТОВ ""Автотранссервіс"", адреса: Лоцманський узвіз, 8, м.Дніпропетровськ, 49005, АГ 588977",Орджонікідзе,Запоріжжя
"ПП ""Корсар"", адреса: вул. Гагаріна, 132, м.Скадовськ, Херсонська область, АЕ 572416",Скадовськ,Сімферополь
"ТзДВ ""Червоноградське АТП 14628"", адреса: вул.Св.Володимира, 113, м.Червоноград, Львівська область, АГ 504823 ",Червоноград,Луцьк
"ПП ""Кіровоград Авто Тур"", адреса: вул. Генерала Родимцева, буд.121-А, м.Кіровоград, АЕ 267506",Кіровоград,Миколаїв
"ПП ""А.Т.Н."", адреса: вул. Чистяківська, 2-А, кв.500, м.Київ, АГ 587717",Остер,Київ
"ТОВ ""ЕЛІТ - АВТО ПЛЮС"", адреса: вул. Молодогвардійська, 11, м.Київ, АЕ 573261",Житомир,Київ
"ПП ""Яртранс"", адреса: вул. Гагаріна, буд. 5,, м.Хмельницький, АД 076623",Хмельницький,Тернопіль
"ТДВ ""Звенигородське АТП 17108"", адреса: вул. Шевченка,4, м.Звенигородка, Черкаська область, АГ 589152",Київ,Ватутіне
"ТОВ ""Автотранссервіс"", адреса: Лоцманський узвіз, 8, м.Дніпропетровськ, 49005, АГ 588977",Орджонікідзе,Запоріжжя
"ТОВ ""Турист"", адреса: Гагарінське плато, буд.5, м.Одеса, AД 75984",Берщадь,Одеса
"ТОВ ""Миколаїв-Авто"", адреса:вул.Казарського, 4, м.Миколаїв, 54007, АВ 544368",Миколаїв,Херсон
"ТОВ ""ЛАТК-0777"", адреса: просп. Повітрофлотський, буд. 72, м.Київ, АЕ 573027",Остер,Київ
"ТОВ ""Володимирецьтранссервіс"", адреса: вул.Соборна, 2- Г, смт.Володимирець, Володимирецький район, Рівненська область,АД 065162 ",Кузнецовськ,Київ
"ФОП Петрушенко О.Л., адреса: просп. Миру, буд.14, кв.105, м.Шепетівка, Хмельницька область, АВ 532378",Шепетівка,Львів
"ТДВ ""Бережаниавтотранс"", адреса: вул.Тернопільська, 9, м.Бережани, Тернопільська область, АГ 590835",Бережани,Чернівці
"ФОП Михалюк Ю.П., адреса: вул. Молодіжна, 54, с.Маяки, Луцький район, Волинська область, АД 076930",Луцьк,Червоноград
"ПАТ ""Північтранс"", адреса: 21 км Старокиївської дороги, м.Одеса, АГ 587970",Братське,Одеса
"ТОВ ""ВІН ГС"", адреса: вул. Келецька, буд. 86, кв. 64, м.Вінниця, АГ 587305",Вінниця,Хмельницький
"ФОП Сушко В.В., адреса: вул. Леніна, 36-А, кв.53, м.Шпола, Черкаська область, АД 065277",Шпола,Київ
"ФОП Гищук С.Д., адреса: вул.Шевченка, буд.59, с.Чехова, Коломийський район, Івано-Франківська область, АВ 536980",Городенка,Чернівці
"ФОП Гончар С.О., адреса: вул.Єфремова, 40, м.Горлівка, Донецька область, 84635, АГ 509555",Дніпропетровськ,Бердянськ
"ТОВ ""Липовець АТП"", адреса: вул.Леніна,121-А, м.Липовець, Вінницька область, АД 062450",Київ,Липовець
"ФОП Желевська Г.В., адреса: пр-т.50-років ВЛКСМ,47/19, кв.164, м.Харків, АЕ 4222952",Харків,Полтава
"ПП ""Дружба Люкс Автотранс"", адреса: проспект Миру, буд. 49 А, м.Чернігів, АЕ 268949",Чернігів,Київ
"ФОП Гищук С.Д., адреса: вул.Шевченка, буд.59, с.Чехова, Коломийський район, Івано-Франківська область, АВ 536980",Городенка,Чернівці
"ТДВ ""Пасавтотранссервіс"", адреса: вул. 50-річчя Жовтня, 192, м.Котовськ, Одеська область, 66300, АЕ 268956",Ольгопіль,Київ
"ТДВ ""Бережаниавтотранс"", адреса: вул.Тернопільська, 9, м.Бережани, Тернопільська область, АГ 590835",Бережани,Львів
"ПП ""Дружба Люкс Автотранс"", адреса: проспект Миру, буд. 49 А, м.Чернігів, АЕ 268949",Чернігів,Київ
"ФОП Надворний В.А., адреса: вул.Київська, 12, кв.20, м.Дунаївці, Хмельницька область, AГ 592668",Дунаївці,Чернівці
"ТОВ ""Миколаїв-Авто"", адреса:вул.Казарського, 4, м.Миколаїв, 54007, АВ 544368",Миколаїв,Одеса
"ФОП Троян О.І., адреса: вул.Героїв Крут, буд.7, кв.43, м.Тернопіль, АЕ 420950",Тернопіль,Червоноград
"ТОВ ""ЛАТК-0777"", адреса: просп. Повітрофлотський, буд. 72, м.Київ, АЕ 573027",Чорнобай,Київ
"ТОВ ""ЗолочівАвтоТранс"", адреса: вул. Львівська,54, м.Золочів, Львівська область, АГ 504788",Рівне,Золочів
"ПАТ ""Тернопільське АТП-16127"", адреса: вул.Галицька, 38, м.Тернопіль, АГ 587907",Тернопіль,Яремча
"ФОП Камлаченко А.Г., адреса: вул.Доценка, 8, кв.72, м.Чернігів, АЕ 268418",Чернігів,Київ
"ФОП Кузькін В.О., адреса: вул. Г.Сталінграда, 14, м.Олександрія, Кіровоградська область, 28005, АД 076697",Олександрія,Дніпропетровськ
"ФОП Калюжний О.І., адреса: вул.Гончаренка, 1, кв.65, м.Охтирка, Сумська область, АЕ 572481",Охтирка,Полтава
"ТОВ  ""Іксора"" адреса: Бериславське шосе, 11, м.Херсон, 73008, АВ 550452",Херсон,Снігурівка
"ПП ""Євротранс Юг"", адреса: вул. Новогрушівська, 9, с.Грушівка, Первомайський район, Миколаївська область, АВ 508607",Первомайськ,Одеса
"ФОП Михалюк Ю.П., адреса: вул. Молодіжна, 54, с.Маяки, Луцький район, Волинська область, АД 076930",Луцьк,Червоноград
"ТОВ ""ВІН ГС"", адреса: вул. Келецька, буд. 86, кв. 64, м.Вінниця, АГ 587305",Вінниця,Хмельницький
"ТОВ ""Транс-Регіон-Авто"", адреса: провулок Старомосковкьий, буд. 6А, м.Харків, АЕ 267988",Харків,Суми
"ФОП Калюжний О.І., адреса: вул.Гончаренка, 1, кв.65, м.Охтирка, Сумська область, АЕ 572481",Охтирка,Полтава
"ПП ""Євротранс Юг"", адреса: вул. Новогрушівська, 9, с.Грушівка, Первомайський район, Миколаївська область, АВ 508607",Первомайськ,Одеса
"ТОВ ""Ліго-Транс"", адреса: вул. Булгакова, буд. 16, м.Київ, 03134,               AД 76971",Рівне,Світязь
"ФОП Козаченко В.А., адреса: Горького, буд.40, кв. 88, м.Суми, АД 076958",Харків,Суми
"ПрАТ ""Монастирищенське АТП 17140"", адреса: вул.Леніна, 173, м.Монастирище, Черкаська область, 19100, АГ 587259",Київ,Монастирище
"ТОВ  ""Іксора"" адреса: Бериславське шосе, 11, м.Херсон, 73008, АВ 550452",Херсон,Снігурівка
"ПП ""Посполіта Сервіс"", адреса: вул. Колонтаївська, 67, м.Одеса, АЕ 593995",Кременчук,Київ
"ПП ""Матеріал-Сервіс"", адреса: Західний проїзд, 1-А, м.Дніпродзержинськ, Дніпропетровська область, АД 033061",Орлик,Дніпродзержинськ
"ПП ""Корсар"", адреса: вул. Гагаріна, 132, м.Скадовськ, Херсонська область, АЕ 572416",Харків,Скадовськ
"ПП ""Експрес-АТП 11211"", адреса: вул. Нікопольська, 1, м.Марганець, Дніпропетровська область, АД 033775",Кірове,Запоріжжя
"ФОП Березюк С.С., адреса: вул. Партизанська, 62, м.Красилів, Хмельницька область, АЕ 422875",Красилів,Вінниця
"ТЗОВ ""Львівське АТП-14631"", адреса: вул.Пластова, 10, м.Львів, 79056, АВ550341",Львів,Луцьк
"ПП ""Посполіта Сервіс"", адреса: вул. Колонтаївська, 67, м.Одеса, АЕ 593995",Кременчук,Київ
