,0,place_short,Lat,Long
327,Козацьке,Козацьке,46.7870421,33.3340572
328,Козелець,Козелець,50.913165500000005,31.1168458
329,Устилуг,Устилуг,50.8609275,24.1551215
330,Болехів,Болехів,49.0702518,23.8543141
331,Нікополь,Нікополь,47.56746,34.394815
332,Сквира,Сквира,49.7328752,29.664290299999998
333,Остер,Остер,50.948616200000004,30.878676799999997
334,Крижопіль,Крижопіль,48.384949299999995,28.867336699999996
335,Вигода,Вигода,48.9268396,23.917401899999998
336,Сокиряни,Сокиряни,48.4495656,27.4110397
337,Прилуки,Прилуки,50.588471399999996,32.3875825
338,Ромни,Ромни,50.741508700000004,33.4809526
339,Кременець,Кременець,50.1078135,25.7276661
340,Талалаївка,Талалаївка,50.842485499999995,33.1399988
341,Петрове,Петрове,48.3348549,33.2705168
342,Якимівка,Якимівка,46.6974533,35.165005
343,Тернопіль,Тернопіль,49.553517,25.594767
344,Вільшанка,Вільшанка,48.2345557,30.887238899999996
