arrival,bus_age,bus_comfort_level,company_id,coords,count,departure,drives_per_day,id,license_data,marchRoute,number_of_buses,regulative_institution,route_regularity
МАР'ЯТИН,"2005, 2007, 2008 роки ","М2, М3, А, В,І,ІІ, ІІІ",2798674731951654912,"[[50.7696795, 29.2604876], [51.01867, 29.34708]]",1,МАЛИН АС,,6216,з 30.01.2015р. по 29.01.2020 ,МАЛИН АС - МАР'ЯТИН,1,Житомирська область,4 дні на тиждень
Червоне ч/з Забару,починаючи з 1986 року,"М2, М3, В, ІІІ",4321077485512689152,"[[50.02288, 29.02023], [49.954411, 28.861307]]",1,Андрушівка,,6220,з 20 лютого 2017 року по 19 лютого 2021 року,Андрушівка - Червоне ч/з Забару,1,Житомирська область,Щоденно
Червоне ч/з Городківку,починаючи з 1986 року,"М2, М3, В, ІІІ",4321077485512689152,"[[50.02288, 29.02023], [49.954923, 28.862169]]",1,Андрушівка,,6221,з 20 лютого 2017 року по 19 лютого 2021 року,Андрушівка - Червоне ч/з Городківку,1,Житомирська область,Щоденно
Зарубинці,починаючи з 1986 року,"М2, М3, В, ІІІ",4321077485512689152,"[[50.02288, 29.02023], [50.039998, 29.131823]]",1,Андрушівка,,6222,з 20 лютого 2017 року по 19 лютого 2021 року,Андрушівка - Зарубинці,1,Житомирська область,Щоденно
Брівки,починаючи з 1986 року,"М2, М3, В, ІІІ",4321077485512689152,"[[50.02288, 29.02023], [49.9375272, 29.2001172]]",1,Андрушівка,,6223,з 20 лютого 2017 року по 19 лютого 2021 року,Андрушівка - Брівки,2,Житомирська область,Щоденно
Яроповичі,починаючи з 1986 року,"М2, М3, В, ІІІ",4321077485512689152,"[[50.02288, 29.02023], [50.0992953, 29.2031279]]",1,Андрушівка,,6224,з 20 лютого 2017 року по 19 лютого 2021 року,Андрушівка - Яроповичі,1,Житомирська область,3 дні на тиждень
Ремзавод,починаючи з 1986 року,"М2, М3, В, ІІІ",4321077485512689152,"[[50.02288, 29.02023], [50.162869, 29.032732]]",1,Андрушівка,,6225,з 20 лютого 2017 року по 19 лютого 2021 року,Андрушівка - Ремзавод,1,Житомирська область,3 дні на тиждень
Нехворощ,починаючи з 1986 року,"М2, М3, В, ІІІ",4321077485512689152,"[[50.02288, 29.02023], [49.9653935, 28.9758809]]",1,Андрушівка,,6227,з 20 лютого 2017 року по 19 лютого 2021 року,Андрушівка - Нехворощ,1,Житомирська область,Щоденно
Лебединці,починаючи з 1986 року,"М2, М3, В, ІІІ",4321077485512689152,"[[50.02288, 29.02023], [49.9258255, 29.1205133]]",1,Андрушівка,,6228,з 20 лютого 2017 року по 19 лютого 2021 року,Андрушівка - Лебединці,1,Житомирська область,Щоденно
Антопіль (Житомирська),починаючи з 1986 року,"М2, М3, В, ІІІ",4321077485512689152,"[[50.02288, 29.02023], [50.07158, 28.87611]]",1,Андрушівка,,6229,з 20 лютого 2017 року по 19 лютого 2021 року,Андрушівка - Антопіль (Житомирська),1,Житомирська область,3 дні на тиждень
М.П'ятигірка,починаючи з 1986 року,"М2, М3, В, ІІІ",4321077485512689152,"[[50.02288, 29.02023], [49.864795, 28.927536]]",1,Андрушівка,,6230,з 20 лютого 2017 року по 19 лютого 2021 року,Андрушівка - М.П'ятигірка,1,Житомирська область,Щоденно
Мостове,починаючи з 1986 року,"М2, М3, В, ІІІ",4321077485512689152,"[[50.02288, 29.02023], [49.9844597, 29.2534314]]",1,Андрушівка,,6232,з 20 лютого 2017 року по 19 лютого 2021 року,Андрушівка - Мостове,1,Житомирська область,3 дні на тиждень
Дивин,починаючи з 2007року,"М2, М3, А, В,І,ІІ, ІІІ",3134139610272645120,"[[50.28449, 29.52626], [50.2053907, 29.6119601]]",1,Брусилів,,6245,з 01 лютого 2016 року по 31 січня 2019 року,Брусилів - Дивин,1,Житомирська область,Щоденно (крім суботи)
Ястребня із заїздом в Лазарівку,починаючи з 2007 року,"М2, М3, А, В,І,ІІ, ІІІ",3134139610272645120,"[[50.28449, 29.52626], [50.2917771, 29.6613178]]",1,Брусилів,,6246,з 01 лютого 2016 року по 31 січня 2019 року,Брусилів - Ястребня із заїздом в Лазарівку,1,Житомирська область,Щоденно (крім суботи) 
Романівка із заїздом в Карабачин,починаючи з 1998 року,"М2, М3, А, В,І,ІІ, ІІІ",1427188880622540544,"[[50.28449, 29.52626], [50.2447689, 29.3690025]]",1,Брусилів,,6247,з 01 лютого 2016 року по 31 січня 2019 року,Брусилів - Романівка із заїздом в Карабачин,1,Житомирська область,Щоденно
Нова Чортория,,"М2, М3, А, В,І,ІІ, ІІІ",792821373199981312,"[[49.92045, 27.75918], [50.034054, 27.690773]]",1,Любар,,6252,27.09.2013р. по 26.09.2020р.,Любар - Нова Чортория,2,Житомирська область,Щоденно (крім суботи)
Борушківці,,"М2, М3, А, В,І,ІІ, ІІІ",792821373199981312,"[[49.92045, 27.75918], [49.9758094, 27.6398177]]",1,Любар,,6253,27.09.2013р. по 26.09.2018р.,Любар - Борушківці,2,Житомирська область,"2 дні на тиждень (Середа, неділя) "
Вигнанка,,"М2, М3, А, В,І,ІІ, ІІІ",9007636920292835328,"[[49.92045, 27.75918], [49.842498, 27.6570312]]",1,Любар,,6255,27.09.2013р. по 26.09.2018р.,Любар - Вигнанка,2,Житомирська область,щоденно
