coords,lat,lng,name
"['49.59373', '34.54073']",49.59373,34.54073,"Полтава, Україна"
"['47.9', '36.16667']",47.9,36.16667,"Братське, Україна"
"['50.31911', '30.29728']",50.31911,30.29728,"Боярка, Україна"
"['47.60126', '34.76424']",47.60126,34.76424,"Новокиївка, Україна"
"['50.26487', '28.67669']",50.26487,28.67669,"Житомир, Україна"
"['50.59323', '32.38761']",50.59323,32.38761,"Прилуки, Україна"
"['49.0495', '38.21792']",49.0495,38.21792,"Кремінна, Україна"
"['44.50218', '34.16624']",44.50218,34.16624,"Ялта, Україна"
"['50.75932', '25.34244']",50.75932,25.34244,"Луцьк, Україна"
"['51.5225', '30.71806']",51.5225,30.71806,"Славутич, Україна"
"['48.33576', '38.05325']",48.33576,38.05325,"Горлівка, Україна"
"['48.34887', '36.40266']",48.34887,36.40266,"Першотравенськ, Україна"
"['50.63965', '26.36573']",50.63965,26.36573,"Городище, Україна"
"['48.5132', '32.2597']",48.5132,32.2597,"Кіровоград, Україна"
"['48.44061', '38.732']",48.44061,38.732,"Артемівськ, Україна"
"['51.50551', '31.28487']",51.50551,31.28487,"Чернігів, Україна"
"['48.5277', '37.7069']",48.5277,37.7069,"Костянтинівка, Україна"
"['48.94832', '38.49166']",48.94832,38.49166,"Сєвєродонецьк, Україна"
"['48.32635', '31.52852']",48.32635,31.52852,"Новоукраїнка, Україна"
"['48.66961', '33.11593']",48.66961,33.11593,"Олександрія, Україна"
"['47.56494', '31.33078']",47.56494,31.33078,"Вознесенськ, Україна"
"['50.0767', '29.9177']",50.0767,29.9177,"Фастів, Україна"
"['48.11853', '34.15068']",48.11853,34.15068,"Гуляйполе, Україна"
"['48.51134', '34.6021']",48.51134,34.6021,"Дніпродзержинськ, Україна"
"['49.03462', '27.23617']",49.03462,27.23617,"Віньківці, Україна"
"['48.57802', '22.85609']",48.57802,22.85609,"Синяк, Україна"
"['50.32942', '26.51425']",50.32942,26.51425,"Острог, Україна"
"['49.08376', '32.65549']",49.08376,32.65549,"Чигирин, Україна"
"['48.90485', '38.44207']",48.90485,38.44207,"Лисичанськ, Україна"
"['47.30778', '31.78506']",47.30778,31.78506,"Нова Одеса, Україна"
"[None, None]",,,"Коббеве (б/в ""Зоря""), Україна"
"['49.78465', '23.64806']",49.78465,23.64806,"Городок, Україна"
"['49.14892', '34.19653']",49.14892,34.19653,"Кобеляки, Україна"
"['49.55979', '27.95754']",49.55979,27.95754,"Хмільник, Україна"
"['44.95719', '34.11079']",44.95719,34.11079,"Сімферополь, Україна"
"['48.9909', '29.8047']",48.9909,29.8047,"Монастирище, Україна"
"['48.7689', '29.92343']",48.7689,29.92343,"Талалаївка, Україна"
"['50.20806', '34.36376']",50.20806,34.36376,"Зіньків, Україна"
"['49.47254', '24.13543']",49.47254,24.13543,"Новий Розділ, Україна"
"['48.98837', '37.80225']",48.98837,37.80225,"Красний Лиман, Україна"
"['48.48429', '34.01398']",48.48429,34.01398,"Вільногірськ, Україна"
"['48.89009', '23.83721']",48.89009,23.83721,"Новий Мізунь, Україна"
"['48.46893', '38.81669']",48.46893,38.81669,"Алчевськ, Україна"
"['50.91542', '25.26906']",50.91542,25.26906,"Рожище, Україна"
"['48.28198', '37.17585']",48.28198,37.17585,"Красноармійськ, Україна"
"['49.80597', '24.89436']",49.80597,24.89436,"Золочів, Україна"
"['50.9506', '30.88229']",50.9506,30.88229,"Остер, Україна"
"['48.1793', '23.29909']",48.1793,23.29909,"Хуст, Україна"
"['50.72576', '24.16265']",50.72576,24.16265,"Нововолинськ, Україна"
"['50.44', '24.36277']",50.44,24.36277,"Романівка, Україна"
"['45.71168', '34.39274']",45.71168,34.39274,"Джанкой, Україна"
"['48.13954', '38.93715']",48.13954,38.93715,"Красний Луч, Україна"
"['50.41694', '25.73432']",50.41694,25.73432,"Дубно, Україна"
"['48.54553', '26.10526']",48.54553,26.10526,"Горошова, Україна"
"['48.61667', '22.3']",48.61667,22.3,"Ужгород, Україна"
"[None, None]",,,"Слов'янськ, Україна"
"['51.33795', '26.60191']",51.33795,26.60191,"Сарни, Україна"
"['48.64308', '31.63657']",48.64308,31.63657,"Мала Виска, Україна"
"['46.37592', '35.36753']",46.37592,35.36753,"Кирилівка, Україна"
"['50.00509', '25.51183']",50.00509,25.51183,"Почаїв, Україна"
