,Lat,Long,new_name,old_name
214,50.42814,25.33619,Демидівка,"Демидівка, Україна"
215,49.55832,30.49259,Тараща,"Тараща, Україна"
216,49.53472,26.14585,Підволочиськ,"Підволочиськ, Україна"
217,48.73407,31.13403,Надлак,"Надлак, Україна"
218,46.85262,31.38802,Березанка,"Березанка, Україна"
219,48.38289,28.86622,Крижопіль,"Крижопіль, Україна"
220,49.48639,29.26361,Погребище,"Погребище, Україна"
221,46.84842,34.38044,Нижні Сірогози,"Нижні Сірогози, Україна"
222,48.9733,24.00944,Долина,"Долина, Україна"
223,47.75,38.5,Амвросїівка,"Амвросїівка, Україна"
224,47.55699,37.07655,Красна Поляна,"Красна Поляна, Україна"
225,49.01502,31.06211,Ватутіне,"Ватутіне, Україна"
226,49.0729,26.1848,Гусятин,"Гусятин, Україна"
227,49.38009,35.44186,Красноград,"Красноград, Україна"
228,48.31071,25.09575,Косів,"Косів, Україна"
229,48.41217,35.86536,Троїцьке,"Троїцьке, Україна"
230,47.63543,34.62769,Марганець,"Марганець, Україна"
231,49.86249,28.21449,Іванопіль,"Іванопіль, Україна"
232,50.1825914,26.5602992,Плужне,"Плужне, Україна"
233,49.5183,23.19752,Самбір,"Самбір, Україна"
234,45.89886,34.8781,Стрілкове,"Стрілкове, Україна"
235,48.74312,24.16939,Ясень,"Ясень, Україна"
237,49.27837,23.50618,Трускавець,"Трускавець, Україна"
238,48.73963,39.2323,Щастя,"Щастя, Україна"
239,49.25229,30.82946,Лисянка,"Лисянка, Україна"
240,51.37893,28.34967,Словечне,"Словечне, Україна"
241,49.75764,27.20342,Старокостянтинів,"Старокостянтинів, Україна"
242,48.63328,38.37804,Попасна,"Попасна, Україна"
243,49.10441,25.91026,Копичинці,"Копичинці, Україна"
244,48.43528,24.74725,Лючки,"Лючки, Україна"
245,47.93548,29.61982,Балта,"Балта, Україна"
246,47.81777,31.18263,Южноукраїнськ,"Южноукраїнськ, Україна"
247,49.06254,25.38798,Бучач,"Бучач, Україна"
248,50.86258,32.39425,Ічня,"Ічня, Україна"
249,48.81143,29.38977,Гайсин,"Гайсин, Україна"
250,47.75305,29.53205,Котовськ,"Котовськ, Україна"
251,46.084,32.52955,Лазурне,"Лазурне, Україна"
252,48.71278,32.66472,Знам'янка,"Знам'янка, Україна"
253,48.68913,26.58867,Кам'янець,"Кам'янець, Україна"
254,49.66644,32.32932,Чорнобай,"Чорнобай, Україна"
255,48.88937,36.31755,Лозова,"Лозова, Україна"
256,48.04911,23.42113,Вишково,"Вишково, Україна"
257,49.2851708,23.4979582,Лісова Пісня,"Лісова Пісня, Україна"
258,49.01979,31.47027,Мар'янівка,"Мар'янівка, Україна"
260,49.328034,26.0044917,Грималів,"Грималів, Україна"
261,48.2417232,25.1284327,Тюдів,"Тюдів, Україна"
262,47.52366,35.9943,Білогір'я,"Білогір'я, Україна"
263,49.22242,31.88714,Сміла,"Сміла, Україна"
264,48.36782,29.51726,Бершадь,"Бершадь, Україна"
265,52.06314,31.18567,Добровеличківка,"Добровеличківка, Україна"
266,50.31981,34.60894,Качанівка,"Качанівка, Україна"
267,48.24801,25.19452,Вижниця,"Вижниця, Україна"
268,48.25868,25.17946,Кути,"Кути, Україна"
269,48.368954,29.5331654,Берщадь,"Берщадь, Україна"
270,48.30904,28.26982,Радянське,"Радянське, Україна"
271,49.66832,32.04047,Золотоноша,"Золотоноша, Україна"
272,52.17827,32.58183,Семенівка,"Семенівка, Україна"
273,48.18298,29.48243,Ольгопіль,"Ольгопіль, Україна"
274,48.88909,26.85636,Дунаївці,"Дунаївці, Україна"
275,48.08331,39.37764,Ровеньки,"Ровеньки, Україна"
276,51.56638,32.95861,Короп,"Короп, Україна"
277,48.4075479,24.778305,Верхній Березів,"Верхній Березів, Україна"
278,50.02248,29.05821,Лисівка,"Лисівка, Україна"
279,50.95937,28.63855,Коростень,"Коростень, Україна"
280,48.04782,37.92576,Макіївка,"Макіївка, Україна"
280,50.666903, 31.832174,Макіївка (Чернігівська),"Макіївка, Чернігівська область"
281,48.18127,37.34801,Маринівка,"Маринівка, Україна"
282,50.06864,34.75862,Котельва,"Котельва, Україна"
283,50.93311,29.09513,Кам'янка,"Кам'янка, Україна"
284,51.76535,25.5142,Любешів,"Любешів, Україна"
285,48.66566,29.74504,Теплик,"Теплик, Україна"
286,50.69296,28.63446,Борова,"Борова, Україна"
287,49.2640677,37.6036081,Радьковські Піски,"Радьковські Піски, Україна"
288,50.11947,26.82125,Ізяслав,"Ізяслав, Україна"
289,47.25053,34.33797,Верхній Рогачик,"Верхній Рогачик, Україна"
290,51.29878,30.91968,Гончарівське,"Гончарівське, Україна"
291,48.91049,33.78557,Деріївка,"Деріївка, Україна"
292,50.47438,24.28288,Сокаль,"Сокаль, Україна"
293,48.13219,30.08247,Саврань,"Саврань, Україна"
294,46.66499,31.20804,Коблеве,"Коблеве, Україна"
295,51.42373,26.22811,Дубівка,"Дубівка, Україна"
296,49.80939,30.11209,Біла Церква,"Біла Церква, Україна"
297,47.77714,29.2764,Бурилове,"Бурилове, Україна"
298,51.86683,32.22397,Турівка,"Турівка, Україна"
299,50.39082,32.0602,Гречана гребля,"Гречана гребля, Україна"
300,47.56731,35.78575,Оріхів,"Оріхів, Україна"
301,47.31969,33.30373,Велика Олександрівка,"Велика Олександрівка, Україна"
302,50.08791,25.15027,Броди,"Броди, Україна"
303,50.77458,35.25965,Краснопілля,"Краснопілля, Україна"
303,51.541418, 33.118003,Краснопілля (Чернігівська),"Краснопілля, Чернігівська область"
304,46.30495,30.65478,Іллічівськ,"Іллічівськ, Україна"
305,48.9097,37.02051,Барвінкове,"Барвінкове, Україна"
306,49.38468,24.14254,Жидачів,"Жидачів, Україна"
307,47.8939887,30.457688,Сирове,"Сирове, Україна"
308,47.30783,32.84993,Березнегувате,"Березнегувате, Україна"
309,50.27975,31.76246,Яготин,"Яготин, Україна"
310,49.5287,24.77503,Нараїв,"Нараїв, Україна"
311,51.81938,34.02691,Первомайське,"Первомайське, Україна"
312,50.52175,30.25055,Ірпінь,"Ірпінь, Україна"
313,49.07717,27.68256,Бар,"Бар, Україна"
314,51.48211,23.85904,Світязь,"Світязь, Україна"
315,51.6683,24.5303,Ратне,"Ратне, Україна"
316,51.3246,28.80351,Овруч,"Овруч, Україна"
317,51.79419,33.05582,Свердловка,"Свердловка, Україна"
318,50.74693,31.3948,Бобровиця,"Бобровиця, Україна"
319,51.08744,30.96883,Борсуків,"Борсуків, Україна"
320,51.1579,31.04331,Вовчок,"Вовчок, Україна"
321,48.39869,37.84787,Дзержинськ,"Дзержинськ, Україна"
322,47.66763,34.05957,Орджонікідзе,"Орджонікідзе, Україна"
323,49.25426,26.26896,Сатанів,"Сатанів, Україна"
324,49.17268,32.37887,Медведівка,"Медведівка, Україна"
325,45.45518,29.26367,Кілія,"Кілія, Україна"
326,47.83716,30.25976,Любашівка,"Любашівка, Україна"
327,49.409,24.60927,Рогатин,"Рогатин, Україна"
328,49.92045,27.75918,Любар,"Любар, Україна"
329,48.13515090000001,30.61641909999999,Довга Пристань,"Довга Пристань, Україна"
330,48.57768,39.71944,Макарів,"Макарів, Україна"
331,51.83158,30.7174,Радуль,"Радуль, Україна"
332,51.80363,25.51515,Підкормілля,"Підкормілля, Україна"
333,50.37332,27.98742,Довбиш,"Довбиш, Україна"
334,48.78105,31.64204,Новомиргород,"Новомиргород, Україна"
335,46.11667,32.28333,Залізний Порт,"Залізний Порт, Україна"
336,48.4379,34.32061,Любомирівка,"Любомирівка, Україна"
337,49.00687,31.39471,Шпола,"Шпола, Україна"
338,51.4982,31.28934989999999,Чернгів,"Чернгів, Україна"
339,48.37889,34.04201,Катеринопіль,"Катеринопіль, Україна"
340,48.09875,29.12463,Кодима,"Кодима, Україна"
341,49.66484,25.14097,Зборів,"Зборів, Україна"
342,46.61283,31.54982,Очаків,"Очаків, Україна"
343,49.72752,33.98334,Сагайдак,"Сагайдак, Україна"
344,49.7901,32.69941,Оржиця,"Оржиця, Україна"
346,48.32991,24.82052,Космач,"Космач, Україна"
347,49.56231,29.48282,Бабинці,"Бабинці, Україна"
348,47.85469,34.11198,Іванівка,"Іванівка, Україна"
349,51.25464,32.4269,Борзна,"Борзна, Україна"
350,49.7055574,37.6027997,Куп'янськ,"Куп'янськ, Україна"
351,47.33351,29.87327,Затишшя,"Затишшя, Україна"
352,49.03705,28.11201,Жмеринка,"Жмеринка, Україна"
353,50.84641,31.82574,Шатура,"Шатура, Україна"
354,51.8713,34.14621,Смоліне,"Смоліне, Україна"
355,48.63799,35.24548,Новомосковськ,"Новомосковськ, Україна"
356,49.55849,38.45361,Маньківка,"Маньківка, Україна"
357,50.75095,28.72387,Іршанськ,"Іршанськ, Україна"
358,51.2796,27.214,Рокитне,"Рокитне, Україна"
359,48.75587,28.07507,Шаргород,"Шаргород, Україна"
360,51.57438,26.56503,Дубровиця,"Дубровиця, Україна"
361,51.49233,25.27986,Надрічне,"Надрічне, Україна"
363,48.46503,26.83457,Кельменці,"Кельменці, Україна"
364,49.25867,24.62777,Бурштин,"Бурштин, Україна"
365,48.43198,22.20555,Чоп,"Чоп, Україна"
366,49.9532,29.45265,Попільня,"Попільня, Україна"
367,50.0278005,26.1195992,Великі Дедеркали,"Великі Дедеркали, Україна"
368,47.11448,32.97518,Калінінське,"Калінінське, Україна"
369,48.21354,30.01558,Завалля,"Завалля, Україна"
370,50.40519,33.40582,Червонозаводське,"Червонозаводське, Україна"
371,49.60318,27.61909,Стара синява,"Стара синява, Україна"
372,51.22482,27.65228,Олевськ,"Олевськ, Україна"
373,48.9215,24.70972,Івано-Франківськ,"Івано-Франківськ, Україна"
