id,route_name,first,second,company_id,regulative_institution,route_number,route_regularity,drives_per_day,bus_comfort_level,bus_age,license_data,company_name,number_of_buses,count
74,Первомайськ-Слов'янськ,Первомайськ,Слов'янськ,0,Укртрансбезпека ,15/16,щоденно,один ,"М3, ІІІ",NA,NA,NA,1+1,1
76,Дніпропетровськ - Зачепилівка,Дніпропетровськ,Зачепилівка,8851860013575201057,Укртрансбезпека ,15/16,щоденно,один ,"М2, М3, В, ІІ, ІІІ",Починаючи з 2005 року,06.08.2014-05.08.2019,"ТОВ ""АТП 11231"", адреса: вул. Винокурова, буд.11, м.Дніпропетровськ, 49051, АЕ 421996",1+1,1
78,Донецьк-Херсон,Донецьк,Херсон,9087621431471251993,Укртрансбезпека ,15/16,щоденно,один ,"М3, ІІІ",Починаючи з 1989 року,17.02.2011-16.02.2016,"ПрАТ ""Херсонське АТП 16527"", адреса: Новомиколаївське шосе, 9, м.Херсон, 73034, АГ 504980",2+1,1
81,Одеса-Почаїв,Одеса,Почаїв,0,Укртрансбезпека ,15/16,щоденно,один ,"М3, ІІІ",NA,NA,NA,2+1,1
85,Жовті Води-Бердянськ,Жовті Води,Бердянськ,3447262132711762631,Укртрансбезпека ,17/18,щоденно,один ,"М3, ІІІ",Починаючи з 1999 року,18.11.2011-17.11.2016,"ФОП Налюшній І.О., адреса: вул.Кирова, 66, кв.49, м.Бердянськ, Запорізька область, 71100, АВ 532736",2+1,1
86,Херсон-Іллічівськ,Херсон,Іллічівськ,3004758266130042808,Укртрансбезпека ,17/18,щоденно,один ,"М3, ІІІ",Починаючи з 2010 року,17.03.2011-16.03.2016,"ПАТ ""Одесавтотранс"", вул.Транспортна, 5, м.Одеса, 65039, АЕ 422950",1+1,1
93,Тячів-Львів,Тячів,Львів,0,Укртрансбезпека ,19/20,щоденно,один ,"М3, ІІІ",NA,NA,NA,2+1,1
95,Суми-Херсон,Суми,Херсон,9087621431471251993,Укртрансбезпека ,19/20,щоденно,один ,"М3, ІІІ",Починаючи з 1986 року,22.09.2011-21.09.2016,"ПрАТ ""Херсонське АТП 16527"", адреса: Новомиколаївське шосе, 9, м.Херсон, 73034, АГ 504980",2+1,1
97,Черкаси-Комсомольськ,Черкаси,Комсомольськ,4844438992547647856,Укртрансбезпека ,19/20,щоденно,один ,"М3, ІІІ",Починаючи з 1993 року,29.01.2015-28.01.2020,"ФОП Синьоок І.І., адреса: вул. 50-річчя Перемоги, с.Червона Слобода, Черкаський район, Черкаська область, 19604, АГ 503638",1+1,1
101,Баранівка-Київ,Баранівка,Київ,8535186015743734308,Укртрансбезпека ,19/20,щоденно,один ,"М3, ІІІ",Починаючи з 1991 року,30.08.2013-29.08.2018,"ФОП Карпенко П.М., адреса: провулок Тютюновий, буд. 1, кв. 4, м.Житомир, 10014, АЕ 187044",1+1,1
104,Донецьк-Луганськ ,Донецьк,Луганськ,8485665623626956349,Укртрансбезпека ,21/22,Прямий та зворотній рейси виконуються Пон.Вівт.Сер.Чт.Пт.Суб.,один ,"М3, ІІІ",Починаючи з 2007 року,29.08.2010-28.08.2015,"ТОВ ""Авто-Експрес"", адреса: вул. Шевцової, 26, м.Волноваха, Донецька область, 85700, АЕ 572534",1+1,1
105,Харків-Каховка,Харків,Каховка,3930197274841286409,Укртрансбезпека ,21/22,щоденно,один ,"М3, ІІІ",Починаючи з 1994 року,28.10.2015-27.10.2020,"ТОВ ""Каховське АТП 16506"", адреса: вул.Мелітопольська, 72, м.Каховка, Херсонська область, 74800, АЕ 420304",2+1,1
110,Ніжин-Полтава,Ніжин,Полтава,0,Укртрансбезпека ,21/22,Прямий та зворотній рейси виконуються Вівт.Чт.Пт.Суб.Нед.,один ,"М3, ІІІ",NA,NA,NA,1+1,1
111,Сніжне-Дніпропретровськ,Сніжне,Дніпропретровськ,8141947222713414458,Укртрансбезпека ,21/22,щоденно,один ,"М3, ІІІ",Починаючи з 1996 року,28.08.2010-27.08.2015,"ПП ""Авто-Експрес"", адреса: вул.Дзержинського, 44, м.Сніжне, Донецька область, 86500, АВ 523124",2+1,1
112,Хмельницький-Луцьк,Хмельницький,Луцьк,661442258415574900,Укртрансбезпека ,21/22,щоденно,один ,"М3, ІІІ",Починаючи з 1991 року,29.09.2011-28.09.2016,"ТДВ ""Чемеровецьке АТП 16847"", адреса: Гусятинське шосе, 4, смт.Чемерівці, Чемеровецький район, Хмельницька область, 31600, АГ 592524",1+1,1
116,Чернівці-Рогатин,Чернівці,Рогатин,3788579687228509148,Укртрансбезпека ,23/24,щоденно,один ,"М3, ІІІ",Починаючи з 2006 року,21.04.2011-20.04.2016,"ПрАТ ""Рогатинавто"", адреса: вул.Галицька, буд.108, м.Рогатин, Івано-Франківська область, 77000",1+1,1
117,Кривий Ріг-Бобринець,Кривий Ріг,Бобринець,5601859907496150076,Укртрансбезпека ,23/24,щоденно,один ,"М2, М3, В, ІІІ",Починаючи з 2012 року,23.09.2015-22.09.2020,"ТОВ ""Аудит-Авто"", адреса: вул.Павлова, 21, м.Дніпропетровськ, АЕ 422908",1+1,1
118,Запоріжжя-Донецьк,Запоріжжя,Донецьк,3528224251910700568,Укртрансбезпека ,23/24,щоденно,один ,"М3, ІІІ",Починаючи з 2007 року,19.02.2015-18.02.2020,"ФОП Мамедов Д.Г. , адреса: вул. Чайковського, буд. 10 В, м.Селидове, Донецька область, 58400, АЕ 572212",2+1,1
119,Христинівка - Київ,Христинівка,Київ,381580302010992688,Укртрансбезпека ,23/24,щоденно,один ,"М3, ІІІ",Починаючи з 2011 року,19.08.2015-18.08.2020,"ТОВ ""Круїз-авто"", адреса: вул.Вокзальна,1 Б, м.Умань, Черкаська область, 20300, АГ 593931",1+1,1
120,Маріуполь-Миколаїв,Маріуполь,Миколаїв,5345732165076252535,Укртрансбезпека ,23/24,щоденно,один ,"М3, ІІІ",Починаючи з 1991 року,19.05.2014-23.04.2019-паритет,"ФОП Зорін Ю.Є., адреса: вул. Бахчіванджи, буд. 21, кв. 15, м.Маріуполь, Донецька область, 87548, АВ 610976",2+1,1
129,Вінниця-Київ,Вінниця,Київ,3285399950320939840,Укртрансбезпека ,25/26,щоденно,один ,"М3, ІІІ",Починаючи з 1986 року,15.09.2011-14.09.2016,"ФОП Лещенко Ю.В., адреса: вул. Папаніна, буд.1, кв. 6, м.Вінниця, 21000, АВ 510237",1+1,1
132,Запоріжжя-Луганськ,Запоріжжя,Луганськ,0,Укртрансбезпека ,25/26,щоденно,один ,"М3, ІІІ",NA,NA,NA,2+1,1
134,Краматорськ-Ялта,Краматорськ,Ялта,0,Укртрансбезпека ,27/28,В період з 01.06. по 31.10. щоденно,один ,"М3, ІІІ",NA,NA,NA,2+1,1
137,Дніпропетровськ-Вінниця,Дніпропетровськ,Вінниця,1566241834839462389,Укртрансбезпека ,27/28,щоденно,один ,"М3, ІІІ",Починаючи з 2000 року,29.01.2015-28.01.2020,"ТОВ ""Автотранссервіс"", адреса: Лоцманський узвіз, 8, м.Дніпропетровськ, 49005, АГ 588977",2+1,1
138,Дніпропетровськ-Красний Луч,Дніпропетровськ,Красний Луч,825958524013479630,Укртрансбезпека ,27/28,щоденно,один ,"М3, ІІІ",Починаючи з 2008 року,19.02.2015-18.02.2020,"ПП ""Автоекспрес-Дніпро"", адреса: площа Металургів, 6, м.Дніпропетровськ, 49009, АГ 587916",2+1,1
139,Чернівці-Чернігів,Чернівці,Чернігів,7176877484556520706,Укртрансбезпека ,27/28,щоденно,один ,"М3, ІІІ",Починаючи з 1994 року,17.01.2013-16.01.2018,"ПКП ""Денисівка - плюс"", адреса: вул. Рівненська, 5а, оф.202, м.Чернівці, 58013, АВ 532614",2+1,1
140,Лугини-Київ,Лугини,Київ,8876115852634260911,Укртрансбезпека ,27/28,щоденно,один ,"М3, ІІІ",Починаючи з 2006 року,15.12.2010-14.12.2015,"ТОВ ""Автосвіт ЛТД"", адреса:вул.Жовтнева, 50, м.Коростень, Житомирська область, 11500, АД 062473",1+1,1
142,Високопілля-Кривий Ріг,Високопілля,Кривий Ріг,6138143282378117453,Укртрансбезпека ,27/28,щоденно,один ,"М2, М3, В, ІІ, ІІІ",Починаючи з 2000 року,12.12.2015-11.12.2020,"ТОВ ""ТСК-Авто"", адреса: вул. Урицького, буд. 4, м.Кривий Ріг, Дніпропетровська область, 50004, АВ 616229",1+1,1
143,Миколаїв-Запоріжжя,Миколаїв,Запоріжжя,0,Укртрансбезпека ,27/28,щоденно,один ,"М3, ІІІ",NA,NA,NA,1+1,1
144,Харків-Нікополь,Харків,Нікополь,1566241834839462389,Укртрансбезпека ,29/30,щоденно,один ,"М3, ІІІ",Починаючи з 2003 року,09.12.2014-08.12.2019,"ТОВ ""Автотранссервіс"", адреса: Лоцманський узвіз, 8, м.Дніпропетровськ, 49005, АГ 588977",2+1,1
145,Вінниця-Котовськ,Вінниця,Котовськ,232477903631265219,Укртрансбезпека ,29/30,щоденно,один ,"М3, ІІІ",Починаючи з 2006 року,19.02.2015-18.02.2020,"ТДВ ""Пасавтотранссервіс"", адреса: вул. 50-річчя Жовтня, 192, м.Котовськ, Одеська область, 66300, АЕ 268956",1+1,1
